Campaign ID,Creative Size,Creative Messaging,Location,City,State,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CVR,CPC,CPM,CTR,Viewability,vCPM
673,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",Nashville,Tennessee,wikihow.com,BidSwitch,Smartphone,37355,145,17138,35689,3,1577.366,$525.79,2.07%,$10.88,$42.23,0.39%,45.88%,$92.04
674,300x250,Sign up Now - 10% Off,"New York City, New York",New York City,New York,wikihow.com,Google Ad Manager,Smartphone,9404,30,4781,7943,4,1345.369,$336.34,13.33%,$44.85,$143.06,0.32%,50.84%,$281.40
675,300x250,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,wizofawes.com,Magnite DV+,Smartphone,13642,40,9830,11658,3,1731.272,$577.09,7.50%,$43.28,$126.91,0.29%,72.06%,$176.12
676,300x250,Sign up Today - 10% Off,"New York City, New York",New York City,New York,womenshealthmag.com,BidSwitch,Smartphone,14693,70,6597,13508,4,2047.349,$511.84,5.71%,$29.25,$139.34,0.48%,44.90%,$310.35
677,320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",Orlando,Florida,wordunscrambler.me,Google Ad Manager,Smartphone,9357,60,1754,8343,10,6559.478,$655.95,16.67%,$109.32,$701.02,0.64%,18.75%,"$3,739.73"
678,300x250,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,wsj.com,Google Ad Manager,Windows PC,20459,40,12668,18613,4,1842.607,$460.65,10.00%,$46.07,$90.06,0.20%,61.92%,$145.45
679,300x50,Sign up Today - 10% Off,"Los Angeles, California",Los Angeles,California,wsmv.com,Google Ad Manager,Smartphone,17382,100,7411,16576,8,5797.22,$724.65,8.00%,$57.97,$333.52,0.58%,42.64%,$782.25
680,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",Jacksonville,Florida,wsvn.com,BidSwitch,Smartphone,13466,150,8684,11766,1,1527.176,"$1,527.18",0.67%,$10.18,$113.41,1.11%,64.49%,$175.86
681,300x50,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",Flint,Michigan,wunderground.com,PubMatic,Smartphone,23410,66,13626,22109,6,1930.181,$321.70,9.09%,$29.25,$82.45,0.28%,58.21%,$141.65
682,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,wunderground.com,OpenX,Smartphone,13713,151,8339,13051,5,1490.006,$298.00,3.31%,$9.87,$108.66,1.10%,60.81%,$178.68
683,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",Los Angeles,California,yachtworld.com,PubMatic,Smartphone,10565,66,6248,10141,9,6236.113,$692.90,13.64%,$94.49,$590.26,0.62%,59.14%,$998.10
684,320x50,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,yahoo.com,PubMatic,Smartphone,888037,2841,370429,820340,42,8134.351,$193.68,1.48%,$2.86,$9.16,0.32%,41.71%,$21.96
685,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,yahoo.com,Yahoo Exchange,Smartphone,1767940,4852,881525,1550866,78,7511.656,$96.30,1.61%,$1.55,$4.25,0.27%,49.86%,$8.52
686,300x250,Sign up Today - 10% Off,"New York City, New York",New York City,New York,yahoo.com,Google Ad Manager,Smartphone,1221746,3874,512107,1088748,19,7483.887,$393.89,0.49%,$1.93,$6.13,0.32%,41.92%,$14.61
687,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,yahoo.com,Xandr - Monetize SSP (AppNexus),Smartphone,446774,1245,163786,374116,12,7248.232,$604.02,0.96%,$5.82,$16.22,0.28%,36.66%,$44.25
688,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",Ft. Myers,Florida,yahoo.com,BidSwitch,Smartphone,120603,298,47405,100881,10,6633.533,$663.35,3.36%,$22.26,$55.00,0.25%,39.31%,$139.93
689,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,yahoo.com,Google Ad Manager,Smartphone,310255,970,105054,260998,14,6057.857,$432.70,1.44%,$6.25,$19.53,0.31%,33.86%,$57.66
690,300x250,Sign up Now - 10% Off,"Memphis, Tennessee",Memphis,Tennessee,yahoo.com,Magnite DV+,Smartphone,818919,1987,395852,699064,22,6012.102,$273.28,1.11%,$3.03,$7.34,0.24%,48.34%,$15.19
691,320x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,yahoo.com,GumGum,Smartphone,760502,2140,326721,700814,17,5179.042,$304.65,0.79%,$2.42,$6.81,0.28%,42.96%,$15.85
692,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",Miami,Florida,yahoo.com,Google Ad Manager,Smartphone,571090,1541,246243,532325,11,4733.619,$430.33,0.71%,$3.07,$8.29,0.27%,43.12%,$19.22
693,300x250,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,yahoo.com,BidSwitch,Apple PC,7584,40,3093,6897,2,4467.081,"$2,233.54",5.00%,$111.68,$589.01,0.53%,40.78%,"$1,444.26"
694,300x250,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",Orlando,Florida,yahoo.com,Google Ad Manager,Windows PC,84460,209,13169,26688,1,4279.231,"$4,279.23",0.48%,$20.47,$50.67,0.25%,15.59%,$324.95
695,300x250,10% Discount - Ends 6/1,"Charleston, South Carolina",Charleston,South Carolina,yahoo.com,Magnite DV+,Smartphone,90123,60,33421,66729,9,3433.914,$381.55,15.00%,$57.23,$38.10,0.07%,37.08%,$102.75
696,300x250,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,yahoo.com,Google Ad Manager,Smartphone,1116343,3104,550519,977978,9,2494.218,$277.14,0.29%,$0.80,$2.23,0.28%,49.31%,$4.53
697,300x250,Subscribe Today - 10% Discount,"Ft. Wayne, Indiana",Ft. Wayne,Indiana,yahoo.com,PubMatic,Smartphone,276716,799,114927,255481,49,2276.277,$46.45,6.13%,$2.85,$8.23,0.29%,41.53%,$19.81
698,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",Orlando,Florida,yahoo.com,Google Ad Manager,Apple PC,17049,84,191,15564,15,2144.49,$142.97,17.86%,$25.53,$125.78,0.49%,1.12%,"$11,227.70"
699,300x250,Sign up Today - 10% Off,"Los Angeles, California",Los Angeles,California,yahoo.com,Google Ad Manager,Windows PC,74164,241,25104,61242,19,1902.301,$100.12,7.88%,$7.89,$25.65,0.32%,33.85%,$75.78
700,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,yahoo.com,TripleLift,Smartphone,37227,130,13542,32456,4,1901.095,$475.27,3.08%,$14.62,$51.07,0.35%,36.38%,$140.39
701,300x250,10% Discount - Ends 6/1,"Los Angeles, California",Los Angeles,California,yahoo.com,PubMatic,Smartphone,556152,1867,221833,480882,7,1818.1,$259.73,0.37%,$0.97,$3.27,0.34%,39.89%,$8.20
702,300x250,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,yahoo.com,Google Ad Manager,Apple PC,598460,1654,201153,557263,13,1689.745,$129.98,0.79%,$1.02,$2.82,0.28%,33.61%,$8.40
703,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,yahoo.com,Google Ad Manager,Smartphone,421110,984,212140,389474,4,1635.92,$408.98,0.41%,$1.66,$3.88,0.23%,50.38%,$7.71
704,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",Ft. Myers,Florida,yahoo.com,BidSwitch,Windows PC,59296,170,25482,54149,4,1568.715,$392.18,2.35%,$9.23,$26.46,0.29%,42.97%,$61.56
705,300x250,10% Discount - Ends 6/1,"Lafayette, Indiana",Lafayette,Indiana,yahoo.com,BidSwitch,Windows PC,307888,863,134959,274790,11,1559.644,$141.79,1.27%,$1.81,$5.07,0.28%,43.83%,$11.56
706,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",Orlando,Florida,yahoo.com,BidSwitch,Smartphone,85965,233,33865,78662,3,1555.535,$518.51,1.29%,$6.68,$18.09,0.27%,39.39%,$45.93
707,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",Miami,Florida,yahoo.com,BidSwitch,Smartphone,335664,852,148742,313071,25,1542.5,$61.70,2.93%,$1.81,$4.60,0.25%,44.31%,$10.37
708,320x50,Sign up Now - 10% Off,"Ft. Wayne, Indiana",Ft. Wayne,Indiana,yahoo.com,Google Ad Manager,Smartphone,74516,200,23985,63853,24,1523.784,$63.49,12.00%,$7.62,$20.45,0.27%,32.19%,$63.53
709,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",Miami,Florida,yahoo.com,Google Ad Manager,Smartphone,263752,702,127042,225121,4,1465.515,$366.38,0.57%,$2.09,$5.56,0.27%,48.17%,$11.54
710,320x50,10% Discount - Ends 6/1,"Lafayette, Indiana",Lafayette,Indiana,yahoo.com,BidSwitch,Smartphone,507889,823,176329,450103,78,1440.745,$18.47,9.48%,$1.75,$2.84,0.16%,34.72%,$8.17
711,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",Jacksonville,Florida,yellowpages.com,Google Ad Manager,Smartphone,61474,250,31245,49089,15,2189.341,$145.96,6.00%,$8.76,$35.61,0.41%,50.83%,$70.07
712,320x50,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,yellowpages.com,Google Ad Manager,Smartphone,14890,60,6248,11493,6,1982.416,$330.40,10.00%,$33.04,$133.14,0.40%,41.96%,$317.29
713,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,yellowpages.com,Index Exchange,Smartphone,61227,174,10434,53104,8,1919.554,$239.94,4.60%,$11.03,$31.35,0.28%,17.04%,$183.97
714,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,yourdailysportfix.com,Google Ad Manager,Smartphone,18516,68,8191,13641,13,5087.562,$391.35,19.12%,$74.82,$274.77,0.37%,44.24%,$621.12
715,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",Miami,Florida,yourdailysportfix.com,Google Ad Manager,Smartphone,11420,67,4647,9909,9,3804.644,$422.74,13.43%,$56.79,$333.16,0.59%,40.69%,$818.73
716,300x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",Miami,Florida,yourroyals.com,Google Ad Manager,Smartphone,10906,46,4735,6390,3,5694.271,"$1,898.09",6.52%,$123.79,$522.12,0.42%,43.42%,"$1,202.59"
717,300x250,10% Discount - Ends 6/1,"San Francisco, California",San Francisco,California,zdnet.com,BidSwitch,Apple PC,7585,13,5396,7417,24,7082.654,$295.11,184.62%,$544.82,$933.77,0.17%,71.14%,"$1,312.57"
718,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",Miami,Florida,zdnet.com,Index Exchange,Smartphone,12692,105,9048,12326,14,1541.72,$110.12,13.33%,$14.68,$121.47,0.83%,71.29%,$170.39
719,320x50,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,zillow.com,Google Ad Manager,Smartphone,318269,914,33355,295405,44,7854.732,$178.52,4.81%,$8.59,$24.68,0.29%,10.48%,$235.49
720,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,zillow.com,Index Exchange,Apple PC,26212,77,12726,24442,15,6452.935,$430.20,19.48%,$83.80,$246.18,0.29%,48.55%,$507.07
721,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",Los Angeles,California,zillow.com,Google Ad Manager,Apple PC,20833,87,1777,17211,9,5542.512,$615.83,10.34%,$63.71,$266.04,0.42%,8.53%,"$3,119.03"
722,320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",South Bend,Indiana,zillow.com,PubMatic,Smartphone,14181,65,7106,13189,17,2912.467,$171.32,26.15%,$44.81,$205.38,0.46%,50.11%,$409.86
723,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",Jacksonville,Florida,zillow.com,Google Ad Manager,Smartphone,304377,801,27519,270098,63,1595.487,$25.33,7.87%,$1.99,$5.24,0.26%,9.04%,$57.98
724,300x250,10% Discount - Ends 6/1,"New York City, New York",New York City,New York,zillow.com,Google Ad Manager,Smartphone,312206,841,35661,292992,5,1550.938,$310.19,0.59%,$1.84,$4.97,0.27%,11.42%,$43.49
725,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",Jacksonville,Florida,zillow.com,BidSwitch,Smartphone,9790,24,1295,9196,2,1532.149,$766.07,8.33%,$63.84,$156.50,0.25%,13.23%,"$1,183.13"
726,300x50,Sign up Today - 10% Off,"Flint-Saginaw-Bay City, Michigan",Flint,Michigan,zillow.com,Taboola,Smartphone,130602,269,11736,113735,4,1507.847,$376.96,1.49%,$5.61,$11.55,0.21%,8.99%,$128.48
727,320x50,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,zone.msn.com,PubMatic,Smartphone,10903,35,3776,9581,2,1460.01,$730.01,5.71%,$41.71,$133.91,0.32%,34.63%,$386.66
