Campaign ID,Creative Size,Creative Messaging,Location,City,State,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CVR,CPC,CPM,CTR,Viewability,vCPM
607,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",Tampa,Florida,travelerdreams.com,Google Ad Manager,Windows PC,24875,67,14213,23455,8,4652.242,$581.53,11.94%,$69.44,$187.02,0.27%,57.14%,$327.32
608,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,travelerdreams.com,BidSwitch,Smartphone,10707,57,6300,10089,3,1603.859,$534.62,5.26%,$28.14,$149.80,0.53%,58.84%,$254.58
609,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",Nashville,Tennessee,tripadvisor.com,Yieldmo,Smartphone,10386,65,5876,10048,15,4439.838,$295.99,23.08%,$68.31,$427.48,0.63%,56.58%,$755.59
610,320x50,Sign up Now - 10% Off,"New York City, New York",New York City,New York,upworthy.com,PubMatic,Smartphone,16137,40,7938,14030,4,1835.049,$458.76,10.00%,$45.88,$113.72,0.25%,49.19%,$231.17
611,300x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,usatoday.com,Google Ad Manager,Smartphone,39373,99,23152,35857,17,6342.886,$373.11,17.17%,$64.07,$161.10,0.25%,58.80%,$273.97
612,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,usatoday.com,OpenX,Smartphone,47016,199,12210,38039,13,5974.875,$459.61,6.53%,$30.02,$127.08,0.42%,25.97%,$489.34
613,320x50,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,usatoday.com,Google Ad Manager,Smartphone,25539,78,12130,24129,15,4804.493,$320.30,19.23%,$61.60,$188.12,0.31%,47.50%,$396.08
614,300x250,Sign up Today - 10% Off,"New York City, New York",New York City,New York,usatoday.com,Google Ad Manager,Smartphone,186404,940,30885,151358,3,4702.028,"$1,567.34",0.32%,$5.00,$25.22,0.50%,16.57%,$152.24
615,320x50,Subscribe Today - 10% Discount,"Jackson, Mississippi",Jackson,Mississippi,usatoday.com,BidSwitch,Smartphone,19549,84,6187,17166,2,1844.987,$922.49,2.38%,$21.96,$94.38,0.43%,31.65%,$298.20
616,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",Nashville,Tennessee,uscellular.com,BidSwitch,Smartphone,17561,50,2960,9953,10,1519.904,$151.99,20.00%,$30.40,$86.55,0.28%,16.86%,$513.48
617,300x50,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,usnews.com,PubMatic,Smartphone,13608,66,2714,9332,1,1762.663,"$1,762.66",1.52%,$26.71,$129.53,0.49%,19.94%,$649.47
618,300x50,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,usssa.com,Google Ad Manager,Smartphone,"446,774",951,"196,581","379,758",33,6956.627,$210.81,3.47%,$7.32,$15.57,0.21%,44.00%,$35.39
619,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",Los Angeles,California,w3schools.com,Index Exchange,Smartphone,11607,184,5218,10763,12,6909.732,$575.81,6.52%,$37.55,$595.31,1.59%,44.96%,"$1,324.21"
620,300x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,w3schools.com,Index Exchange,Smartphone,72117,187,9807,68568,16,1702.317,$106.39,8.56%,$9.10,$23.60,0.26%,13.60%,$173.58
621,300x250,10% Discount - Ends 6/1,"Birmingham, Alabama",Birmingham,Alabama,w3schools.com,Google Ad Manager,Windows PC,38070,146,15253,35453,8,1653.511,$206.69,5.48%,$11.33,$43.43,0.38%,40.07%,$108.41
622,300x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,w3schools.com,BidSwitch,Smartphone,32400,87,5152,30383,9,1522.353,$169.15,10.34%,$17.50,$46.99,0.27%,15.90%,$295.49
623,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,washingtonpost.com,Xandr - Monetize SSP (AppNexus),Smartphone,9867,30,6867,9347,12,6839.569,$569.96,40.00%,$227.99,$693.18,0.30%,69.60%,$996.01
